WellID,SampleDate,TotalAntimony_ug_L,TotalAntimony_qualifier,DissolvedAntimony_ug_L,DissolvedAntimony_qualifier,TotalArsenic_ug_L,TotalArsenic_qualifier,DissolvedArsenic_ug_L,DissolvedArsenic_ug_L,TotalMercury_ng_L,TotalMercury_qualifier,DissolvedMercury_ng_L,DissolvedMercury_qualifier,Sulfate_mg_L,Sulfate_qualifier
MW27,18-May,9.5,,,,22,,,,313,,199,,220,
MW27,19-May,9.3,,,,29,,,,560,,419,,160,
MW27,19-Sep,1.4,,,,5.6,,,,698,,519,,150,
MW28,11-Aug,19.3,J,9.18,J,32.8,,8.4,,4000,,10.9,,46,
MW28,12-May,13.2,,3.3,,73,,39,,1340,,38,,42.8,
MW28,12-Sep,17.4,,,,68,,,,0,,26,J,40.5,J
MW28,15-Jun,7,,,,75,,,,1890,,27.5,,,U
MW28,15-Sep,16,,,,130,,,,1320,J,294,,,U
MW28,16-Oct,5.3,,,,100,,,,384,,59.9,,39,
MW28,17-May,9.5,,,,110,,,,1080,,43.3,,45,
MW28,17-Sep,7.1,,,,75,,,,542,,80.7,,41,
MW28,18-May,8,,,,84,,,,1460,,82.8,,43,
MW28,19-May,4.2,,,,94,,,,1790,,647,,44,
MW28,19-Sep,0.79,,,,22,,,,980,,427,,45,
MW29,11-Aug,1.21,,0.837,,36.9,,31.1,,247,,0.71,J,45.1,
MW29,12-May,6.52,,2.3,,102,,20,,6,,1,,28,
MW29,12-Sep,1.34,,,,44,,,,8,J,7,J,28.1,
MW29,15-Jun,0.75,J,,,75,,,,215,,1.45,,,U
MW29,15-Sep,,U,,,35,,,,,U,5.69,,,U
MW29,16-Oct,,U,,,56,,,,125,,18.7,,34,
MW29,17-May,0.9,J,,,69,,,,26.1,,0.71,,31,
MW29,17-Sep,0.62,J,,,60,,,,,U,,U,37,
MW29,18-May,0.29,J,,,34,,,,,U,,U,35,
MW29,19-May,2.4,,,,2.2,,,,18,,6.01,,30,
MW29,19-Sep,1.5,,,,51,,,,28.3,,0.79,,36,
MW31,11-Aug,0.098,,0.027,J,,U,0.1,U,58.4,,0.7,J,1.27,
MW31,15-Jun,0.36,J,,,4.1,,,,376,,14.5,,,U
MW31,15-Sep,,U,,,,U,,,,U,,U,,U
MW31,16-Oct,,U,,,,U,,,15.3,,1.02,,,U
MW31,17-May,1.3,J,,,2.8,J,,,150,,1.58,,18,
MW31,17-Sep,,U,,,,U,,,,U,,U,,U
MW31,18-May,,U,,,0.27,J,,,,U,,U,1.5,
MW31,19-May,350,J,,,,U,,,4.8,,4,,1.3,
MW31,19-Sep,,,,,,,,,,,,,,
MW32,11-Aug,2.15,J,1.74,J,7.3,,6.3,,306,,3.65,,17.5,
MW32,12-May,4.35,,,,2,,,,151,,31,,12.2,
MW32,12-Sep,6.35,,,,3,,,,190,J,,UJ,15.8,
MW32,15-Jun,1.2,,,,0.65,J,,,47.9,,18.5,,11,
MW32,15-Sep,1.9,,,,1,,,,114,,35.9,,12,
MW32,16-Sep,3.8,,,,2.6,J,,,221,,20,,11,
MW32,17-May,5.2,,,,,U,,,108,,20,,11,
MW32,17-Sep,2.7,,,,,U,,,,U,,U,10,
MW32,18-May,2.3,,,,0.61,J,,,33.7,,12.2,,8.4,
MW32,19-May,5.7,,,,37,J,,,52,,8.46,,6,
MW32,19-Sep,0.34,J,,,0.22,J,,,63.3,,14.9,,20,
MW33,11-Aug,427,J,420,J,15.2,,14.4,,115,,4.58,,20.7,
MW33,12-May,391,,,,31,,,,210,,7,,18.2,
MW33,12-Sep,417,,,,29,,,,10,J,3,J,14.9,
MW33,15-Jun,430,,,,23,,,,745,,5.84,,14,
MW33,15-Sep,460,,,,25,,,,8.21,,3.02,,11,
MW33,16-Oct,450,,,,26,,,,171,,6.16,,18,
MW33,17-May,380,,,,24,,,,48.1,,3.12,,17,
MW33,17-Sep,450,,,,24,,,,40.1,,,U,18,
MW33,18-May,370,,,,24,,,,62.7,,3.2,,22,
MW33,19-May,14,,,,270,,,,10.3,,4.8,,16,
MW33,19-Sep,83,,,,5.7,,,,31,,3.33,,14,
MW40,15-Sep,6.2,,,,85,,,,,U,,U,,U
MW40,16-Oct,8.5,,,,120,,,,286,,1.53,,17,
MW40,17-May,5.1,,,,160,,,,4.3,,,U,10,
MW40,17-Sep,10,,,,220,,,,,U,,U,23,
MW40,18-May,14,,,,260,,,,,U,,U,22,
MW40,19-May,350,,,,220,,,,8.9,,2.01,,19,
MW40,19-Sep,6.1,,,,210,,,,1.1,,0.13,,11,
MW42,15-Sep,250,,,,610,,,,,U,48.2,,,U
MW42,16-Oct,260,,,,360,,,,2520,,205,,18,
MW42,17-May,240,,,,310,,,,28.4,,0.78,,14,
MW42,17-Sep,170,,,,480,,,,,U,16.9,,14,
MW42,18-May,160,,,,560,,,,909,,4.87,,17,
MW42,19-May,1.7,,,,310,,,,94.1,,39.7,,18,
MW42,19-Sep,44,,,,61,,,,64,,2.79,,16,
MW43,15-Sep,9.2,,,,38,,,,,U,7.55,J,,U
MW43,16-Oct,4.2,,,,240,,,,,U,0.56,,9.8,
MW43,17-May,7,,,,230,,,,5.77,,0.3,J,11,
MW43,17-Sep,8,,,,270,,,,,U,,U,13,
MW43,18-May,1.3,,,,300,,,,,U,,U,10,
MW43,19-May,1.1,J,,,1,,,,10.7,,0.64,,9,
MW43,19-Sep,1.6,,,,66,,,,4.33,,1.04,,12,
MW44,17-Sep,,U,,,0.64,J,,,,U,,U,7.7,
MW44,19-May,,U,,,1.4,J,,,2.69,,0.62,,6.5,
MW44,19-Sep,,U,,,4.6,,,,19.7,,0.78,,7,
MW45,17-Sep,,U,,,1.4,,,,34.1,,,U,4.9,
MW45,19-May,,U,,,1.5,J,,,16,,4.35,,3.9,
MW45,19-Sep,,U,,,4.5,,,,19.9,,3.44,,4.8,
MW46,17-Sep,0.21,J,,,0.73,J,,,38.8,,,U,2.4,
MW46,19-May,,U,,,,U,,,21.6,,8.2,,1.9,
MW46,19-Sep,,U,,,6,,,,255,,23.2,,3.7,
MW47,17-Sep,0.11,J,,,0.77,J,,,47.4,,,U,4.4,
MW47,19-May,,U,,,,U,,,3.11,,0.96,,3.2,
MW47,19-Sep,,U,,,3.7,,,,3.92,,0.23,,4.7,
MW48,17-Sep,0.75,,,,0.47,J,,,21.6,,,U,4.5,
